target,model,fold,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,expected_calibration_error,calibration_intercept,calibration_slope,top_decile_precision,top_decile_lift,auc_primary,pr_auc_primary,brier_primary,auc_gain_vs_primary,pr_auc_gain_vs_primary,brier_gain_vs_primary
long_arrival_delay,schedule_fused_state,JFK,0.2704707731850989,0.07509505786821649,0.7349969364538306,0.0933374597433244,103399,9651,0.28393451343822446,0.003841675541959885,-0.11400338838936667,0.9644575597162443,0.36578508979777363,3.918952699202155,0.7006562172528502,0.20724789135812785,0.08090579660514512,0.03434071920098036,0.0766866220800966,0.005810738736928625
cancellation,schedule_fused_state,JFK,0.08794775429795512,0.01886565156725861,0.7424362761361671,0.01999052215205176,103399,2067,0.09282380683897928,0.0018189575300441325,-0.22961815096480598,0.9591726690651438,0.08520391879998838,4.262215771649734,0.6683909679622818,0.07354672672156355,0.01931550312566539,0.07404530817388533,0.019277080117415732,0.00044985155840678026
long_arrival_delay,schedule_fused_state,LAX,0.2236662430488707,0.05624961137931972,0.6328443331590669,0.060362837895454935,187632,11326,0.10006816690019432,0.016093552299647207,-0.4373894808032429,0.9248374338578994,0.12414480718394764,2.0566429861856315,0.6188363513468115,0.09496946823186518,0.05835212515507601,0.014007981812255377,0.005098698668329141,0.002102513775756293
cancellation,schedule_fused_state,LAX,0.0468955698109351,0.007317719922669795,0.5336697716789545,0.007221582672465251,187632,1355,0.009345726910612926,0.009526327463870797,-4.090913621142431,0.19929865276061962,0.011458599812398737,1.5867158671586714,0.5267705989653507,0.00945855199801552,0.007679135550107353,0.006899172713603741,-0.00011282508740259427,0.000361415627437558
long_arrival_delay,schedule_fused_state,LGA,0.28368728278691646,0.08111402413669223,0.7785765852703794,0.10685554259736593,134621,14385,0.3433059514059186,0.01928194469958797,-0.05388017331147282,1.0493527600744337,0.44551255861898337,4.169297612363306,0.7154005158179066,0.21993745821278599,0.09177091237274465,0.06317606945247278,0.12336849319313259,0.010656888236052417
cancellation,schedule_fused_state,LGA,0.10713514747298004,0.02556642341163183,0.8123999891661265,0.028866224437494894,134621,3886,0.1814403239601861,0.0037210157814405323,-0.0821397317491302,1.0204026055022974,0.16406607535551498,5.6836693593501755,0.6872763016242484,0.09155454455285553,0.027589732124686277,0.1251236875418782,0.08988577940733058,0.002023308713054447
long_arrival_delay,schedule_fused_state,ORD,0.2887617035067386,0.08075216015454141,0.714749412252323,0.09848505855493626,324567,31965,0.2662697874730803,0.005722038223159657,-0.05784089392643147,0.956390449628212,0.3370136212245854,3.4219771625215083,0.6673610941313067,0.18205554324344284,0.08606777890611597,0.04738831812101629,0.08421424422963744,0.005315618751574561
cancellation,schedule_fused_state,ORD,0.07565636176390494,0.016082314823344275,0.7836279798825706,0.018159578761858107,324567,5894,0.19496903467392152,0.006290836717395383,-0.009188304151660352,1.10281807656357,0.09826820855804447,5.411370486436854,0.705833848032588,0.08988567735564891,0.017409089475253842,0.07779413184998263,0.1050833573182726,0.0013267746519095673
long_arrival_delay,schedule_fused_state,SFO,0.2655065885607153,0.07235579989970276,0.7130345617028138,0.08305162174508908,142285,11817,0.20210409758743783,0.024490334880450906,-0.38252836863507583,0.9592965322759561,0.26861287790936034,3.2342881724069845,0.5990940198882619,0.11285849399829201,0.07763437179046856,0.11394054181455182,0.08924560358914582,0.005278571890765804
cancellation,schedule_fused_state,SFO,0.05469885535371229,0.008600078879713589,0.6054800285636429,0.008187792107390098,142285,1165,0.016477225265158053,0.016218782882179796,-2.615780929418941,0.5757466511791562,0.020662754331096038,2.5236051502145918,0.5380356108824074,0.010272464646429995,0.00885560100480609,0.06744441768123555,0.0062047606187280585,0.0002555221250925017
